2015-10-07 18:28:24	guest	http://www.paleta.fifart.net/valememesa/login/	Error: Failed login for 'admin' - Invalid password
2015-10-07 18:28:29	admin	http://www.paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-07 21:52:49	admin	http://www.paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-08 12:53:45	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-08 13:39:45	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-08 13:41:09	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-08 14:42:48	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-08 14:43:05	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-08 14:43:58	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-08 15:06:51	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-08 16:11:15	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-08 22:53:39	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-08 22:58:21	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 10:51:29	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 11:00:18	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 11:00:30	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 11:00:58	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 11:01:02	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 11:01:29	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 11:01:40	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 11:02:52	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 11:02:54	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 11:03:47	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 11:03:57	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 11:04:55	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 11:05:13	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 11:06:02	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 11:06:08	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 11:07:22	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 11:07:27	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 11:07:44	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 11:07:53	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 11:08:14	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 11:09:05	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 11:09:50	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 14:21:15	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 14:52:02	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 14:52:08	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 14:52:50	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 14:57:09	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 15:14:01	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 15:14:14	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 15:15:01	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 15:15:08	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 15:16:55	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 15:17:01	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 15:17:50	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 15:18:05	editor	http://paleta.fifart.net/valememesa/login/?id=id	Successful login for 'editor'
2015-10-10 15:18:30	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
2015-10-10 15:18:36	admin	http://paleta.fifart.net/valememesa/login/	Successful login for 'admin'
2015-10-10 15:25:08	admin	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'admin'
2015-10-10 15:25:15	editor	http://paleta.fifart.net/valememesa/login/	Successful login for 'editor'
2015-10-10 15:25:38	editor	http://paleta.fifart.net/valememesa/login/logout/	Logout for 'editor'
